% degree N
7
% number of nodes
36
% node coordinates
-1.000000000000000E+00 -1.000000000000000E+00
-8.717401485096067E-01 -9.999999999999999E-01
-5.917001814331424E-01 -1.000000000000000E+00
-2.092992179024787E-01 -1.000000000000000E+00
2.092992179024791E-01 -1.000000000000000E+00
5.917001814331420E-01 -1.000000000000000E+00
8.717401485096066E-01 -1.000000000000000E+00
1.000000000000000E+00 -1.000000000000000E+00
-1.000000000000000E+00 -8.717401485096066E-01
-8.239961594276352E-01 -8.239961594276345E-01
-5.032840332609757E-01 -8.014294108916301E-01
-1.025297372097315E-01 -7.949405255805370E-01
3.047134441526056E-01 -8.014294108916302E-01
6.479923188552694E-01 -8.239961594276348E-01
8.717401485096065E-01 -8.717401485096067E-01
-1.000000000000000E+00 -5.917001814331421E-01
-8.014294108916301E-01 -5.032840332609755E-01
-4.650732944293117E-01 -4.650732944293116E-01
-6.985341114137683E-02 -4.650732944293116E-01
3.047134441526055E-01 -5.032840332609757E-01
5.917001814331424E-01 -5.917001814331424E-01
-1.000000000000000E+00 -2.092992179024791E-01
-7.949405255805368E-01 -1.025297372097316E-01
-4.650732944293116E-01 -6.985341114137683E-02
-1.025297372097317E-01 -1.025297372097315E-01
2.092992179024787E-01 -2.092992179024787E-01
-1.000000000000000E+00 2.092992179024786E-01
-8.014294108916300E-01 3.047134441526055E-01
-5.032840332609755E-01 3.047134441526055E-01
-2.092992179024792E-01 2.092992179024791E-01
-1.000000000000000E+00 5.917001814331423E-01
-8.239961594276346E-01 6.479923188552695E-01
-5.917001814331418E-01 5.917001814331418E-01
-9.999999999999999E-01 8.717401485096063E-01
-8.717401485096065E-01 8.717401485096063E-01
-1.000000000000000E+00 1.000000000000000E+00
% r collocation differentation matrix
-3.544153442942908E-01 7.157179726055202E-01 -7.824781472475837E-01 8.779075351213884E-01 -8.412825317752237E-01 7.685612742182411E-01 -6.325644011745147E-01 2.832882919615461E-01 4.908647177584369E-01 -2.144995607244761E+00 -2.007321261664679E-01 2.730498984388735E+00 -1.214935302010543E+00 5.930682390885753E-01 -1.774779541503849E-01 1.183653439100789E-01 -2.154587161439158E-01 -5.094620963464811E-02 -6.306584609806612E-02 6.838664236197768E-02 -4.999482993661550E-02 -1.238798782412270E-02 1.179256727396949E-01 4.911354184199614E-02 -9.957098055938576E-03 5.083438423532093E-03 -1.702615607288244E-02 -9.162351180201880E-02 -1.511695461139073E-02 2.935423414647314E-04 3.445707068013447E-02 5.815588019309266E-02 2.665672363984406E-03 -3.899320890698984E-02 -2.203291511362283E-02 2.113102826558167E-02 
2.782881021703859E-01 -5.983764022065938E-01 7.024455939330013E-01 -7.449368395918762E-01 7.449368395918783E-01 -7.024455939330032E-01 5.983764022065935E-01 -2.782881021703873E-01 -2.439273105101759E-01 8.644249719386746E-01 -2.241321373839785E+00 -8.336859883662122E-15 2.241321373839796E+00 -8.644249719386772E-01 2.439273105101774E-01 -6.153219056204808E-02 7.437039152027319E-02 -6.525621544165557E-02 6.525621544165507E-02 -7.437039152027411E-02 6.153219056204751E-02 9.526072494336291E-03 -9.122059944952911E-03 -7.808235192995808E-16 9.122059944954667E-03 -9.526072494335330E-03 -4.723158360808873E-03 6.499253746904969E-03 -6.499253746904632E-03 4.723158360807695E-03 1.445604169847917E-03 7.886792162982862E-17 -1.445604169847486E-03 -1.299669872886704E-03 1.299669872886474E-03 -9.647080500082269E-18 
-2.832882919615431E-01 6.325644011745138E-01 -7.685612742182377E-01 8.412825317752201E-01 -8.779075351213880E-01 7.824781472475834E-01 -7.157179726055186E-01 3.544153442942883E-01 1.774779541503826E-01 -5.930682390885738E-01 1.214935302010535E+00 -2.730498984388734E+00 2.007321261664711E-01 2.144995607244758E+00 -4.908647177584348E-01 4.999482993661591E-02 -6.838664236197498E-02 6.306584609806634E-02 5.094620963464894E-02 2.154587161439178E-01 -1.183653439100772E-01 -5.083438423532858E-03 9.957098055937351E-03 -4.911354184199587E-02 -1.179256727396963E-01 1.238798782412069E-02 -2.935423414644919E-04 1.511695461138967E-02 9.162351180202100E-02 1.702615607288440E-02 -2.665672363984494E-03 -5.815588019309358E-02 -3.445707068013523E-02 2.203291511362327E-02 3.899320890699050E-02 -2.113102826558233E-02 
3.784765091773114E-01 -8.700530802280113E-01 1.090499671411340E+00 -1.236317428561612E+00 1.338631110808048E+00 -1.421346839922734E+00 1.077981566254176E+00 -6.659000042168530E-01 -1.783905118646561E-01 5.890069020337647E-01 -1.128642473383708E+00 2.022192544217889E+00 -4.278643916082883E+00 7.350464276345953E-01 1.983818597994691E+00 -5.765295194238150E-02 9.095605733782246E-02 -1.162842942887327E-01 1.542840397365313E-01 2.846453163788254E-01 4.787789027963307E-01 2.314850381561843E-03 6.640700401942747E-03 -1.538846583111174E-02 -1.966971121750323E-01 -2.476684978731516E-01 -5.859915266287975E-03 2.009974718911247E-03 1.200241956536934E-01 1.924503799555614E-01 6.179436752969117E-03 -6.816971012641444E-02 -1.572954951399116E-01 2.037108534023684E-02 1.218007734545412E-01 -5.179834553726132E-02 
-9.120740420595138E-01 2.165014280526860E+00 -2.834886209231771E+00 3.403540378447987E+00 -3.984549235920834E+00 4.678118690340517E+00 -5.585425275496098E+00 2.055046383514522E+00 3.087536642296884E-01 -1.033965613777997E+00 1.990791353507080E+00 -3.469015449140069E+00 6.261067708183466E+00 -1.394648378863831E+01 9.554891716319894E+00 1.200234254542817E-01 -2.409906259124583E-01 3.965086368761978E-01 -7.121492227672784E-01 1.338534969159206E+00 1.093925622599258E+00 1.319306263438672E-02 -6.427271579117790E-02 1.807044048229319E-01 -4.180408380567799E-01 -7.623892495962279E-01 1.925017761785470E-02 -6.742760216868196E-02 1.720545041577033E-01 5.513245192988351E-01 1.414989677539183E-02 -6.645701120369016E-02 -4.066036357447783E-01 1.776957507771015E-02 2.824924621047380E-01 -1.124249161428395E-01 
1.127381542310137E+00 -1.452645317120039E+00 -3.333761808687181E-01 1.796024286077412E+00 -2.852810795511706E+00 3.408844772611388E+00 -3.295328583040748E+00 1.608314794223950E+00 -2.694522064156926E+00 8.599348657360647E+00 -8.317813837058996E+00 7.171118313459115E+00 -5.545038639769960E+00 3.563156238824182E+00 -1.238906436889720E+00 -8.657397335163145E+00 1.165081610921071E+01 -4.746384819380382E+00 2.137166348123924E+00 -7.237783882052494E-01 -4.434911200492282E-02 -8.386589989497195E-01 -1.447481377534876E+00 7.515763368195439E-01 -4.415002747119182E-01 2.155094719908817E-01 6.533478687816908E-01 4.336539323140475E-01 -1.381601950426568E-01 1.517845619210400E-02 -4.801690252448206E-01 -1.808758080469385E-01 5.492649732821451E-02 3.456357443498227E-01 3.348235917395839E-02 -1.362845404502913E-01 
-4.847165796472426E-01 6.012404217130233E-01 -2.919329212473247E-01 -2.482589106842713E-01 7.260266263815462E-01 -1.060983144288222E+00 1.146393229169056E+00 -5.987835106146044E-01 9.620994514254955E-01 -1.849776461460143E+00 2.753339570519620E+00 -2.671236026428716E+00 2.260869241110879E+00 -1.557673050089558E+00 5.733982474622521E-01 -1.545849115712300E+00 -8.400912230424670E-01 3.825717276540233E+00 -1.585570010301211E+00 6.159604628031515E-01 -6.206868358957689E-02 -5.786025334077547E-01 -2.185100751193493E-01 -2.436844494720820E-01 1.994656207572099E-01 -1.178699800246731E-01 2.842470925679546E-01 1.863848451088050E-01 4.666762518422019E-03 4.871512761995512E-03 -2.171445729545048E-01 -9.116681897477197E-02 -6.051002714055800E-03 1.601062414677638E-01 3.575541440199978E-02 -7.057294693657724E-02 
3.698693812622513E-01 -5.825804851029293E-01 3.781489569876316E-01 -7.058671023121427E-02 -2.884346413223476E-01 5.797687321892904E-01 -7.167060881576732E-01 4.049301568773802E-01 -5.502211627833512E-01 1.314452983626804E+00 -1.680769641008827E+00 1.881107280578209E+00 -1.685234148312435E+00 1.227817913675618E+00 -4.769484893055690E-01 3.411688698468042E-01 -2.000280382599319E+00 -1.721531591512543E-01 2.482908648925815E+00 -8.513697120468300E-01 1.379250659238649E-01 1.683847215004606E-01 -2.867992591635175E-01 5.124913679908628E-02 -1.541862920954637E-01 1.151557194081940E-01 -1.802166418504974E-02 1.041807385192274E-01 4.520026037330534E-02 -2.022213052278467E-02 -9.408735553605172E-03 -7.800258516214552E-02 6.279372635329045E-03 2.800265915255587E-02 2.083302122715794E-02 -1.545833280466994E-02 
-4.049301568773819E-01 7.167060881576761E-01 -5.797687321892923E-01 2.884346413223501E-01 7.058671023121332E-02 -3.781489569876297E-01 5.825804851029259E-01 -3.698693812622513E-01 4.769484893055691E-01 -1.227817913675617E+00 1.685234148312428E+00 -1.881107280578209E+00 1.680769641008832E+00 -1.314452983626805E+00 5.502211627833514E-01 -1.379250659238647E-01 8.513697120468315E-01 -2.482908648925813E+00 1.721531591512511E-01 2.000280382599320E+00 -3.411688698468057E-01 -1.151557194081944E-01 1.541862920954627E-01 -5.124913679908601E-02 2.867992591635187E-01 -1.683847215004602E-01 2.022213052278598E-02 -4.520026037330715E-02 -1.041807385192268E-01 1.802166418504926E-02 -6.279372635331465E-03 7.800258516214559E-02 9.408735553606634E-03 -2.083302122715769E-02 -2.800265915255574E-02 1.545833280467038E-02 
5.987835106146038E-01 -1.146393229169057E+00 1.060983144288221E+00 -7.260266263815466E-01 2.482589106842749E-01 2.919329212473204E-01 -6.012404217130171E-01 4.847165796472407E-01 -5.733982474622497E-01 1.557673050089553E+00 -2.260869241110866E+00 2.671236026428708E+00 -2.753339570519621E+00 1.849776461460138E+00 -9.620994514254947E-01 6.206868358957539E-02 -6.159604628031520E-01 1.585570010301208E+00 -3.825717276540232E+00 8.400912230424686E-01 1.545849115712303E+00 1.178699800246735E-01 -1.994656207572081E-01 2.436844494720843E-01 2.185100751193530E-01 5.786025334077520E-01 -4.871512761996110E-03 -4.666762518423476E-03 -1.863848451088062E-01 -2.842470925679558E-01 6.051002714056099E-03 9.116681897477351E-02 2.171445729545046E-01 -3.575541440200059E-02 -1.601062414677641E-01 7.057294693657749E-02 
