% degree N
4
% number of nodes
15
% node coordinates
-1.000000000000000E+00 -1.000000000000000E+00
-6.546536707079771E-01 -1.000000000000000E+00
0.000000000000000E+00 -1.000000000000000E+00
6.546536707079772E-01 -9.999999999999999E-01
1.000000000000000E+00 -1.000000000000000E+00
-1.000000000000000E+00 -6.546536707079771E-01
-5.515835075553056E-01 -5.515835075553056E-01
1.031670151106111E-01 -5.515835075553056E-01
6.546536707079772E-01 -6.546536707079772E-01
-1.000000000000000E+00 0.000000000000000E+00
-5.515835075553056E-01 1.031670151106112E-01
0.000000000000000E+00 0.000000000000000E+00
-9.999999999999999E-01 6.546536707079771E-01
-6.546536707079772E-01 6.546536707079772E-01
-1.000000000000000E+00 1.000000000000000E+00
% r collocation differentation matrix
-3.546323147477118E-01 3.924224787777206E-01 -4.073532874032294E-16 -3.924224787777206E-01 3.546323147477122E-01 7.372756658008988E-01 -1.527299277178652E+00 1.527299277178652E+00 -7.372756658008983E-01 -9.456861726605661E-01 3.341502068702888E-16 9.456861726605656E-01 -2.281382783102629E-01 2.281382783102630E-01 -3.330669073875470E-16 
8.328718938848466E-01 -1.255574460832307E+00 6.104958585131309E-01 3.885176319680321E-01 -5.139473179819201E-01 -1.255574460832306E+00 3.087459725102730E+00 -3.797790432112491E+00 1.490459951871574E+00 6.104958585131297E-01 -3.797790432112494E+00 3.196930495855841E+00 3.885176319680315E-01 1.538753741761217E-01 -1.389473179819200E-01 
-3.561130960988478E-01 4.148531343059166E-02 1.719662634888710E-01 4.702877721297093E-01 -6.902125107913410E-01 1.027106028204332E+00 -4.055222040292192E-01 -1.764262700058701E+00 1.569010545082536E+00 -2.128260415718736E+00 4.745854126443494E+00 -2.012532958932446E+00 -3.334844906604314E+00 2.410138459487761E+00 2.559002839663110E-01 
6.902125107913413E-01 -4.702877721297098E-01 -1.719662634888705E-01 -4.148531343059093E-02 3.561130960988477E-01 -1.569010545082537E+00 1.764262700058703E+00 4.055222040292167E-01 -1.027106028204330E+00 2.012532958932448E+00 -4.745854126443493E+00 2.128260415718733E+00 -2.410138459487762E+00 3.334844906604317E+00 -2.559002839663125E-01 
4.999999999999989E-01 -4.397756872943207E-16 -2.864979840629935E-16 1.488344616575895E-15 -5.000000000000004E-01 -1.410164177942424E+00 -6.781527184980044E-16 -1.933787293033918E-15 1.410164177942426E+00 2.666666666666663E+00 4.014082011438498E-15 -2.666666666666667E+00 -6.756502488724239E+00 6.756502488724241E+00 -1.554312234475219E-15 
% s collocation differentation matrix
-4.999999999999999E+00 -3.360730578173361E-16 -4.418875686132675E-16 1.398091905708767E-15 -5.664983938435910E-16 6.756502488724239E+00 -4.386996346028587E-18 -1.123462299396076E-15 -5.067770205044985E-17 -2.666666666666666E+00 -5.706378636557727E-17 8.742388174844821E-16 1.410164177942427E+00 -1.399067338354960E-15 -4.999999999999993E-01 
-9.850899690646719E-01 -3.334844906604314E+00 -3.825172938307970E-01 2.633434123783590E-01 -9.710334912983079E-02 2.410138459487759E+00 4.745854126443496E+00 -4.055222040292180E-01 4.148531343059141E-02 -2.012532958932447E+00 -1.764262700058705E+00 1.719662634888716E-01 1.569010545082538E+00 4.702877721297091E-01 -6.902125107913410E-01 
5.139473179819195E-01 -1.490459951871574E+00 -3.196930495855841E+00 -1.538753741761216E-01 1.389473179819203E-01 -3.885176319680318E-01 3.797790432112493E+00 3.797790432112492E+00 -3.885176319680313E-01 -6.104958585131314E-01 -3.087459725102732E+00 -6.104958585131295E-01 1.255574460832309E+00 1.255574460832306E+00 -8.328718938848472E-01 
-3.561130960988481E-01 1.027106028204334E+00 -2.128260415718737E+00 -3.334844906604315E+00 2.559002839663110E-01 4.148531343059081E-02 -4.055222040292185E-01 4.745854126443493E+00 2.410138459487762E+00 1.719662634888717E-01 -1.764262700058702E+00 -2.012532958932448E+00 4.702877721297091E-01 1.569010545082538E+00 -6.902125107913410E-01 
