% degree N
9
% number of nodes
100
% node coordinates
1.000000000000000E+00 4.779249498104444E-01
-1.000000000000000E+00 7.387738651055048E-01
-9.195339081664586E-01 7.387738651055048E-01
-7.387738651055047E-01 7.387738651055048E-01
-4.779249498104445E-01 7.387738651055048E-01
-1.652789576663870E-01 7.387738651055048E-01
1.652789576663869E-01 7.387738651055048E-01
4.779249498104444E-01 7.387738651055048E-01
7.387738651055048E-01 7.387738651055048E-01
9.195339081664589E-01 7.387738651055048E-01
1.000000000000000E+00 7.387738651055048E-01
-1.000000000000000E+00 9.195339081664589E-01
-9.195339081664586E-01 9.195339081664589E-01
-7.387738651055047E-01 9.195339081664589E-01
-4.779249498104445E-01 9.195339081664589E-01
-1.652789576663870E-01 9.195339081664589E-01
1.652789576663869E-01 9.195339081664589E-01
4.779249498104444E-01 9.195339081664589E-01
7.387738651055048E-01 9.195339081664589E-01
9.195339081664589E-01 9.195339081664589E-01
1.000000000000000E+00 9.195339081664589E-01
-1.000000000000000E+00 1.000000000000000E+00
-9.195339081664586E-01 1.000000000000000E+00
-7.387738651055047E-01 1.000000000000000E+00
-4.779249498104445E-01 1.000000000000000E+00
-1.652789576663870E-01 1.000000000000000E+00
1.652789576663869E-01 1.000000000000000E+00
4.779249498104444E-01 1.000000000000000E+00
7.387738651055048E-01 1.000000000000000E+00
9.195339081664589E-01 1.000000000000000E+00
1.000000000000000E+00 1.000000000000000E+00
% r collocation differentation matrix
-2.249999999999995E+01 3.043814502928187E+01 -1.217794670742983E+01 6.943788485133969E+00 -4.599354761103142E+00 3.294643033749190E+00 -2.452884175442685E+00 1.829563931903247E+00 -1.275954836092662E+00 4.999999999999999E-01 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
-5.074064702978034E+00 0.000000000000000E+00 7.185502869705849E+00 -3.351663862746791E+00 2.078207994036426E+00 -1.444948448751461E+00 1.059154463645445E+00 -7.832392931379092E-01 5.437537382357053E-01 -2.127027580091889E-01 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
