% degree N
3
% number of nodes
20
% node coordinates
-5.999999999999994E-01 1.309016994374947E+00 -1.618033988749894E+00 7.090169943749473E-01 -8.388985029113593E-17 6.550595105396973E-16 4.766185412866655E-17 -1.145369911497793E-16 -4.563476133476678E-16 2.350096388034637E-16 6.180339887498943E-01 -2.700000000000000E+00 1.999999999999999E+00 1.105189102681471E-15 3.395895596250981E-16 -2.029057123279205E-16 1.909830056250525E-01 1.909830056250527E-01 -2.243935272594486E-16 -9.999999999999981E-02 
3.888888888888892E-01 -1.061016697916962E-01 -7.272316635416362E-01 6.666666666666659E-01 -7.272316635416366E-01 1.499999999999998E+00 -7.272316635416373E-01 -1.061016697916955E-01 -1.061016697916957E-01 5.555555555555527E-02 -7.272316635416363E-01 1.499999999999999E+00 -7.272316635416369E-01 -1.500000000000001E+00 1.500000000000000E+00 1.433242630241878E-16 -1.061016697916959E-01 -1.061016697916957E-01 1.470446238174267E-16 5.555555555555547E-02 
-6.666666666666659E-01 7.272316635416370E-01 1.061016697916958E-01 -3.888888888888886E-01 7.272316635416367E-01 -1.499999999999999E+00 7.272316635416373E-01 1.061016697916957E-01 1.061016697916957E-01 -5.555555555555532E-02 7.272316635416369E-01 -1.500000000000000E+00 7.272316635416369E-01 -1.500000000000000E+00 1.500000000000001E+00 -8.741688738164182E-17 1.061016697916959E-01 1.061016697916959E-01 -1.536087539210771E-16 -5.555555555555561E-02 
-6.000000000000004E-01 7.624545331356582E-16 2.165004029214323E-18 5.999999999999998E-01 1.309016994374947E+00 -6.050715484207105E-16 -1.309016994374947E+00 -1.618033988749895E+00 1.618033988749895E+00 1.392217429955123E-16 6.180339887498956E-01 -7.850187603575184E-16 -6.180339887498948E-01 -2.700000000000001E+00 2.700000000000001E+00 -1.995627873446264E-16 1.909830056250527E-01 -1.909830056250525E-01 1.205845429682210E-17 3.348129238236132E-18 
4.090169943749474E-01 -1.909830056250530E-01 -6.180339887498936E-01 5.999999999999993E-01 1.198654347242340E-16 -6.015252298214765E-16 -1.481739403966686E-16 1.230503873984136E-16 3.101003665211483E-16 -2.316844890454684E-16 -1.309016994374946E+00 2.700000000000000E+00 -1.309016994374947E+00 -9.325686377393291E-16 -3.902863440147237E-16 2.418488609260440E-16 -2.000000000000000E+00 1.618033988749895E+00 8.630957621422647E-17 9.999999999999973E-02 
-5.999999999999995E-01 6.180339887498950E-01 1.909830056250516E-01 -4.090169943749468E-01 9.197236553065777E-18 7.417638761607798E-16 1.632277098834632E-17 -3.905846638467260E-16 -3.769985752288240E-16 2.495822818073227E-16 1.309016994374947E+00 -2.699999999999999E+00 1.309016994374946E+00 1.112180681937964E-15 6.051059783360942E-16 -1.456763932259019E-16 -1.618033988749896E+00 2.000000000000001E+00 -4.105121304309701E-16 -1.000000000000002E-01 
-6.000000000000009E-01 9.105130985423514E-16 -2.324285910402429E-16 6.000000000000002E-01 6.180339887498951E-01 -8.881784197001252E-16 -6.180339887498943E-01 1.909830056250525E-01 -1.909830056250524E-01 1.105611461734412E-16 1.309016994374949E+00 -1.125948310864974E-15 -1.309016994374947E+00 -2.700000000000000E+00 2.700000000000000E+00 1.665334536937735E-16 -1.618033988749896E+00 1.618033988749896E+00 -1.665334536937735E-16 -1.120311373086531E-16 
-5.000000000000013E-01 9.005564793841223E-16 -1.654048199828281E-16 4.999999999999998E-01 5.788915526909085E-17 1.176809786020705E-16 1.540663175451941E-16 -5.120203161050427E-16 8.296814446358977E-17 2.976335085466336E-17 1.545084971874738E+00 -3.612778927408396E-16 -1.545084971874737E+00 1.232298095575569E-15 -6.229516877078854E-16 1.279686478181406E-16 -4.045084971874739E+00 4.045084971874739E+00 -4.161738485688303E-16 -1.528690982802253E-16 
% s collocation differentation matrix
-3.000000000000002E+00 9.136121945803574E-16 -5.089167898330935E-16 4.616316575146821E-16 4.045084971874735E+00 1.348128230666925E-15 -8.288114421087406E-16 -1.545084971874737E+00 2.220446049250313E-16 4.999999999999998E-01 -9.220191791862606E-17 -1.157780474157618E-16 -1.466661359385554E-17 3.155414658321899E-16 -1.936305165684286E-16 1.009218109614707E-16 2.012910169812219E-17 4.478780844632431E-18 -2.547549737840972E-17 2.271445128888595E-19 
