% degree N
4
% number of nodes
35
% node coordinates
-1.000000000000000E+00 -1.000000000000000E+00 -9.999999999999999E-01
-6.546536707079773E-01 -1.000000000000000E+00 -9.999999999999999E-01
0.000000000000000E+00 -1.000000000000000E+00 -9.999999999999999E-01
6.546536707079771E-01 -1.000000000000000E+00 -9.999999999999999E-01
1.000000000000000E+00 -1.000000000000000E+00 -9.999999999999999E-01
-3.546323711949350E-01 3.924225383383533E-01 -6.095356772364057E-16 -3.924225383383523E-01 3.546323711949343E-01 7.372758273164866E-01 -1.527298825562610E+00 1.527298825562610E+00 -7.372758273164866E-01 -9.456863231864903E-01 3.626957670087804E-17 9.456863231864902E-01 -2.281385152178446E-01 2.281385152178445E-01 4.550186213754818E-17 -1.962035374199841E-16 2.375496350645591E-16 -2.821677652691535E-17 -4.925316454323647E-17 3.766270858658829E-16 2.117368746235356E-18 -3.092415098045441E-16 -1.065992236897694E-16 8.857919464193741E-17 -1.147004804325393E-17 -1.465678462499689E-16 -1.267316292259836E-17 1.456730896861025E-16 -1.121085843505674E-17 -6.795567224559533E-17 3.662405781629344E-17 -7.475678792557662E-18 3.624921629363864E-17 6.872745611509932E-18 -1.086580561068990E-17 
8.328719028162244E-01 -1.255574545324943E+00 6.104958704216328E-01 3.885179764516964E-01 -5.139475128423486E-01 -1.255574545324942E+00 3.087458895262995E+00 -3.797790402270563E+00 1.490460409503152E+00 6.104958704216297E-01 -3.797790402270560E+00 3.196930187738979E+00 3.885179764516965E-01 1.538758318076969E-01 -1.389475128423470E-01 1.720501593176312E-16 -7.118885712991301E-17 -3.729981161044759E-16 2.495063650746687E-16 -3.663516205572282E-16 -9.711985512244505E-16 1.016205407331366E-15 2.316827325379372E-16 2.722241390924569E-17 1.698924258806975E-17 6.629344709173974E-16 1.557409591430066E-16 -6.063097216139320E-16 -2.267891579244363E-17 3.270112458933992E-17 -6.818610872168764E-18 -1.369361482125478E-16 5.602695368326139E-18 2.767709221932462E-17 3.233608226853573E-17 
-3.561130609860613E-01 4.148531938484076E-02 1.719661369664256E-01 4.702878627384688E-01 -6.902125158949843E-01 1.027105927175378E+00 -4.055218994853108E-01 -1.764262225864568E+00 1.569010551036787E+00 -2.128260239651956E+00 4.745853787794521E+00 -2.012532846019715E+00 -3.334845328582878E+00 2.410138059837895E+00 2.559004715511565E-01 6.108183247715803E-16 -2.443286884024751E-16 2.110855707474133E-16 -4.219565835242224E-16 -3.542272116731766E-16 6.431518888293348E-17 2.944944287081587E-16 7.264867087989893E-16 -7.924381032414132E-16 -1.023833103077171E-16 -4.511204830021645E-16 -2.185481754150440E-16 4.821319126333865E-16 1.296716410975925E-15 -1.137944623563389E-15 3.863877305363443E-17 -8.998617761804860E-17 1.571601385755714E-16 -6.295318936165596E-17 -7.238819185867165E-19 
6.902125158949843E-01 -4.702878627384681E-01 -1.719661369664257E-01 -4.148531938484146E-02 3.561130609860619E-01 -1.569010551036787E+00 1.764262225864564E+00 4.055218994853144E-01 -1.027105927175379E+00 2.012532846019717E+00 -4.745853787794521E+00 2.128260239651955E+00 -2.410138059837896E+00 3.334845328582878E+00 -2.559004715511565E-01 -1.937610130063417E-16 3.782096962045096E-16 -6.818280524413720E-16 3.752712103055785E-16 9.323063759157787E-17 1.782447321994103E-17 -2.332748955639642E-16 6.304102352923466E-16 -4.436523266038874E-16 5.059339588131818E-17 1.067003119578528E-16 2.197238283845353E-16 -5.816507164106826E-17 8.481460159989987E-17 -2.605446039112316E-16 -4.469737133453906E-17 -2.793202656321271E-16 1.839280277526450E-16 6.980802519389376E-17 8.047264405802691E-18 
5.000000000000012E-01 -1.759132475892987E-15 4.252169912274913E-16 1.055618694368976E-15 -4.999999999999998E-01 -1.410164177942426E+00 4.376365891944265E-15 -5.320239785777546E-15 1.410164177942426E+00 2.666666666666663E+00 -2.163218055150949E-15 -2.666666666666660E+00 -6.756502488724239E+00 6.756502488724239E+00 -5.576555291648995E-16 4.619914872539681E-16 9.939790277258154E-17 -3.785707704161770E-16 -2.133560376239764E-16 3.751455916299698E-16 3.781342264985345E-16 -5.668361794565218E-16 6.158686156749218E-16 -9.621726887777990E-16 1.845064360104522E-16 -5.016681882804929E-16 -2.317181014502207E-16 6.592696395482533E-16 1.763291160479807E-15 -1.574160892023241E-15 -6.974631986584129E-17 -3.775402088246531E-16 3.874143221199653E-16 -2.436769238485293E-17 5.444245594461631E-18 
-9.850897814798278E-01 2.410138059837893E+00 -2.012532846019717E+00 1.569010551036788E+00 -6.902125158949841E-01 4.500225909947916E-16 -7.736565829573270E-16 7.704154552195128E-16 -7.966967870300024E-17 1.381221192471429E-16 3.780910456431483E-17 -4.383444096876420E-17 -8.975373427802062E-17 -1.355011135663288E-16 9.627757711774537E-17 -3.334845328582877E+00 4.745853787794524E+00 -1.764262225864563E+00 4.702878627384677E-01 -3.592806790927103E-16 1.043412320841522E-15 -1.033134209945951E-15 4.179179684124037E-16 6.736996840457745E-17 -1.393018919892293E-17 -3.825171177640188E-01 -4.055218994853151E-01 1.719661369664246E-01 -1.490244006351612E-16 4.837339883850675E-16 -2.590601169180124E-16 2.633433113494060E-01 4.148531938484241E-02 -1.393940674545683E-16 -9.710331401704474E-02 
3.710197447653421E-01 -6.612773597728355E-01 7.557455540260977E-01 -6.612773597728354E-01 3.190184769773599E-01 -7.710938643652888E-18 2.624867783613827E-16 -5.263349804490509E-16 3.557383886583528E-16 2.677228621661699E-17 -2.301668235787710E-16 1.873872116891629E-16 1.131033347548463E-17 -5.358713999068559E-17 5.041632842750157E-17 -8.894158749906800E-01 -2.037098269315339E-01 1.527298825562608E+00 -3.615306091123841E-01 8.245753783554936E-17 -1.957122255750919E-16 2.355116107545730E-16 -1.425178458948603E-16 3.331190728968501E-16 -9.045355361959853E-17 -1.899407691603925E-01 4.239120193454696E-16 -7.720730414279064E-02 1.852965680746290E-16 -4.278258781787159E-16 1.523345793420898E-17 7.599846754365039E-02 3.089192922596732E-02 7.292548177674564E-18 -3.561389421757357E-02 
-3.190184769773607E-01 6.612773597728361E-01 -7.557455540260986E-01 6.612773597728362E-01 -3.710197447653419E-01 1.737088271544518E-16 -3.682348856725181E-16 3.160886231191509E-16 -2.534411918385057E-16 -3.694780259145119E-17 5.217043628856074E-17 -4.991128771504368E-17 -1.977105115518540E-17 1.080511863384166E-16 -4.369359468603839E-17 3.615306091123857E-01 -1.527298825562610E+00 2.037098269315372E-01 8.894158749906778E-01 -1.143193656532078E-16 1.486600762216241E-16 7.559874219401184E-17 7.774920096226050E-17 -3.119394619097872E-16 2.875424163882768E-17 7.720730414279039E-02 7.214145296404417E-17 1.899407691603924E-01 -2.437494219069236E-16 1.741003378016017E-16 7.491387899342723E-17 -3.089192922596718E-02 -7.599846754365057E-02 4.856858295532135E-17 3.561389421757347E-02 
6.902125158949874E-01 -1.569010551036792E+00 2.012532846019722E+00 -2.410138059837895E+00 9.850897814798261E-01 9.143814863582158E-17 -4.088941311857608E-16 -4.083058583198386E-16 4.403868749334944E-16 1.807487576847804E-18 2.243331973295595E-16 1.748928139322853E-16 5.479446152609366E-17 -7.895262841081719E-17 -7.459064466115413E-17 -4.702878627384698E-01 1.764262225864570E+00 -4.745853787794527E+00 3.334845328582874E+00 4.350869283303155E-17 4.378668889253849E-16 -9.601902252364714E-16 2.876639366741243E-16 -6.101032740089347E-16 2.270594295617377E-16 -1.719661369664254E-01 4.055218994853130E-01 3.825171177640195E-01 -2.563201106421434E-16 1.086927771042373E-15 -1.340375997852801E-16 -4.148531938484150E-02 -2.633433113494062E-01 -5.057330664543743E-17 9.710331401704453E-02 
4.542444930180403E-01 -2.119651761326433E-01 -7.915013921534610E-01 1.414628513246232E+00 -9.058506312017621E-01 -8.211937782707130E-01 2.072502889699474E+00 -1.684865883708407E+00 6.773526859297450E-01 -1.658397908506488E-01 -1.575670581457961E-01 1.541849310330298E-01 1.442205642636183E-01 1.617333908520036E-02 -6.959329132751203E-02 -8.211937782707129E-01 2.072502889699475E+00 -1.684865883708407E+00 6.773526859297446E-01 -2.591346832922599E+00 3.549149806057933E+00 -7.783849344942110E-01 -1.575670581457967E-01 -1.575670581457967E-01 6.822209671996775E-02 -1.658397908506493E-01 -1.575670581457974E-01 1.541849310330298E-01 -1.575670581457970E-01 -1.575670581457965E-01 2.410097830974329E-02 1.442205642636183E-01 1.617333908520102E-02 6.822209671996760E-02 -6.959329132751191E-02 
