 6  7    37037  7999992 3.831235e-04 2.088097e+10 3.495120e-06 5.993613e+02 5.797394e+02 1.552153e+03 2.062576e+03 4 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 6  7    37037  7999992 3.940286e-04 2.030308e+10 3.197280e-06 5.827734e+02 4.920848e+02 1.509195e+03 2.005493e+03 5 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 6  7    37037  7999992 4.436058e-04 1.803401e+10 3.252480e-06 5.176429e+02 5.287739e+02 1.340528e+03 1.781360e+03 6 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 7  8    23323  7999789 3.724924e-04 2.147638e+10 3.491840e-06 6.000864e+02 5.633354e+02 1.725123e+03 2.370291e+03 1 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 7  8    23323  7999789 3.738331e-04 2.139936e+10 3.488240e-06 5.979343e+02 5.654310e+02 1.718936e+03 2.361791e+03 2 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 7  8    23323  7999789 3.892182e-04 2.055348e+10 3.635440e-06 5.742990e+02 4.871931e+02 1.650990e+03 2.268433e+03 3 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 7  8    23323  7999789 3.746767e-04 2.135118e+10 3.456880e-06 5.965880e+02 5.337120e+02 1.715066e+03 2.356473e+03 4 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 7  8    23323  7999789 4.074370e-04 1.963442e+10 3.289200e-06 5.486188e+02 5.784639e+02 1.577165e+03 2.166999e+03 5 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 7  8    23323  7999789 3.788586e-04 2.111550e+10 3.510160e-06 5.900028e+02 5.406190e+02 1.696135e+03 2.330462e+03 6 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 8  9    15625  8000000 3.918303e-04 2.041700e+10 3.178240e-06 5.592345e+02 5.576937e+02 1.722605e+03 2.492151e+03 1 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
